MEDIENNR;VERFASSERIN;TITEL;MEDIENGRUPPE;SYSTEMATIK;ANZAHL_AUSLEIHEN;ANZAHL_TITEL
1194140;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss bei den Dinosauriern;Compact Disc;CD.JM;611;77
1199061;Moyes, Jojo;¬Eine¬ Handvoll Worte;Buch;DR.G;611;43
1176854;Moyes, Jojo;¬Ein¬ ganzes halbes Jahr;Buch;DR.G;611;44
0965010;Vogel, Maja ¬von¬;Total verknallt!;Buch;JE.D;608;58
1085784;Osborne, Mary Pope;Geister in der Nebelnacht;Buch;JM;606;46
1193108;Glattauer, Nikolaus;Mitteilungsheft: Leider hat Lukas ...;Buch;DR.L;602;48
0965280;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss und der Schatz im Dschungel;Buch;JM;598;43
1183531;Hosseini, Khaled;Traumsammler;Buch;DR;595;45
1120177;Osborne, Mary Pope;¬Das¬ Gift der Königskobra;Buch;JM.F;593;44
1030845;Collins, Suzanne;Gefährliche Liebe;Buch;JM.U;590;52
0920471;Vogel, Maja ¬von¬;Popstar in Not;Buch;JE.D;590;58
1168589;Dietl, Erhard;¬Die¬ Olchis und der Geist der blauen Berge;Buch;JM.C;589;43
1183533;Kehlmann, Daniel;F;Buch;DR;588;48
0922269;Osborne, Mary Pope;Angriff des Wolkendrachen;Buch;JM;586;49
0938523;Beer, Hans ¬de¬;Kleiner Eisbär in der Walbucht;Buch;JD.R;582;70
0508936;Beer, Hans ¬de¬;Kleiner Eisbär, hilf mir fliegen!;Buch;JD.R;580;68
1034056;Rossmann, Eva;Evelyns Fall;Buch;DR.D;580;80
1183532;Glavinic, Thomas;¬Das¬ größere Wunder;Buch;DR;579;44
1118247;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss kommt in die Schule;Buch;JM.CM;577;52
1177514;Suter, Martin;Allmen und die Dahlien;Buch;DR.D;576;49
